id,name,state,district,category,managementType,institutionType,yearEstablished
S-22757,GOVERNMENT POLYTECHNIC DIGLIPUR,Andaman and Nicobar Islands,North and Middle Andaman,Engineering,Central Government,Technical/Polytechnic,-
S-19329,DR S RADHAKRISHNAN DISTRICT INSTITUTE OF EDUCATION AND TRAINING,Andaman and Nicobar Islands,South Andamans,Degree,Central Government,Teacher Training,1998
S-26923,"ANOOP SCHOOL OF NURSING, ADDATEEGALA",Andhra Pradesh,Alluri Sitharama Raju,Medical,Private Un-Aided,Nursing,2024
S-13481,"GOVERNMENT DIPLOMA IN EDUCATION COLLEGE AT ITDA RAMPACHODAVARAM, EAST GODAVARI TRIBAL AREA",Andhra Pradesh,Alluri Sitharama Raju,Degree,State Government,Teacher Training,2008
S-21452,GOVERNMENT MODEL RESIDENTIAL POLYTECHNIC JAGARAMPALLI RAMPACHODAVARAM,Andhra Pradesh,Alluri Sitharama Raju,Engineering,State Government,Technical/Polytechnic,-
S-26838,"SRI MODAMAMBA SCHOOL OF NURSING, PADERU",Andhra Pradesh,Alluri Sitharama Raju,Medical,Private Un-Aided,Nursing,2017
C-74566,ANDHRA COLLEGE OF NURSING ANKAPALLE,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2022
C-71848,B R FISHERY POLYTECHNIC,Andhra Pradesh,Anakapalli,Engineering,Private Un-Aided,Affiliated College,-
S-12929,"EMANUEL SCHOOL OF NURSING, MAKAVARAPALEM, VISAKHAPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2003
S-21451,"ENNOBLE SCHOOL OF NURSING , NARSIPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,-
C-71774,JAGRUTHI COLLEGE OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,-
S-26452,KBR SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2023
C-74526,KITES COLLEGE OF BSC MLT,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Affiliated College,2023
C-72286,KITES COLLEGE OF NURSING ATCHUTHAPURAM ANAKAPALLI,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2023
S-26508,"KITES PARAMEDICAL INSTITUTE, SARADA COLONY",Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2023
S-26304,KITES SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2023
S-26242,MOTHER THERESA MPHA (M) TRAINING INSTITUTE,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2012
S-26073,SANTHI SCHOOL OF LAB TECHNICIAN TRAINING,Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Paramedical,2002
C-77012,SRI SIVA COLLEGE OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2025
C-74923,"SRI VENKATESWARA COLLEGE OF NURSING, VISAKHAPATNAM",Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Affiliated College,2023
S-26272,SRI VENKATESWARA MPHW (F) TRAINING INSTITUTE,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,1984
S-26271,SRI VENKATESWARA SCHOOL OF NURSING,Andhra Pradesh,Anakapalli,Medical,Private Un-Aided,Nursing,2018
C-75469,"VENKATESWARA COLLEGE OF PHYSIOTHERAPY, ANAKAPALLI",Andhra Pradesh,Anakapalli,Degree,Private Un-Aided,Affiliated College,2024
C-75168,ABHIRAM COLLEGE OF NURSING,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Affiliated College,2024
C-74842,"ADVAITHA COLLEGE OF NURSING, ANANTAPURAMU",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Affiliated College,2025
S-26439,"AMERICAN SCHOOL OF NURSING, ANANTAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1988
S-13397,"Balaji College of Elementary Teacher Education, Khajanagar, Near RTC Bus Stand, Anantapur- 515001",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Teacher Training,2006
S-3485,DR B V SYAMALA RATNAM SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1998
S-26670,DR KSAR GAFFOOR INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Paramedical,2022
S-13099,"FAITH SCHOOL OF NURSING, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2012
S-22768,GOVERNMENT POLYTECHNIC GUNTAKAL,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2023
S-16162,GOVERNMENT POLYTECHNIC KADIRI,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2008
S-17638,GOVERNMENT POLYTECHNIC TADIPATRI,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2008
S-14939,"GOVERNMENT POLYTECHNIC, DHARMAVARAM",Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2008
S-15724,"GOVERNMENT POLYTECHNIC, KALYANDURG, ANANTAPUR",Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2009
S-14760,"GOVERNMENT POLYTECHNIC, MADAKASIRA, ANANTAPUR",Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2009
S-14947,"GOVERNMENT POLYTECHNIC, URAVAKONDA",Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2009
S-535,GOVT POLYTECHNIC ANANTHAPUR,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,1960
S-542,GOVT POLYTECHNIC FOR WOMEN HINDUPUR,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,1985
C-75144,GOWTHAMI COLLEGE OF NURSING,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Affiliated College,2024
S-21131,GRAMEENA SCHOOL OF NURSING,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,-
S-18354,Government Polytechnic College Narpala,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2014
S-19283,Government Polytechnic Rayadurg,Andhra Pradesh,Ananthapuramu,Engineering,State Government,Technical/Polytechnic,2008
C-30942,"Hailee College of Education, Kalyandurg",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Affiliated College,-
S-3522,JEEVAN JYOTHI HOSPITAL SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2004
C-26865,"JNTUA MBA, Anantapur",Andhra Pradesh,Ananthapuramu,Management,University,Constituent / University College,-
S-13320,"K.P.K School of Nursing, LIC Colony, Anantapur",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2012
S-3553,MASS SCHOOL OF NURSING ANANTHAPUR-,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2004
S-3572,NIRMALA SCHOOL OF NURSING ANANTHAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1987
S-3589,R D T SCHOOL OF NURSING ANANTHAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2004
S-26297,SAVEERA PARAMEDICAL INSTITUTION,Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Paramedical,2023
S-26190,SEEDS INSTITUTE OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh,Ananthapuramu,Engineering,Private Un-Aided,Paramedical,2023
C-74815,"SRI ADI SIVA SADGURU COLLEGE OF PHYSIOTHERAPY, THIMMAPURAM, GUNTAKAL TOWN, ANANTAPURAM DISTRICT",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Affiliated College,2024
S-13090,"SRI ADISIVA SADGURU ALLI SAHEB SIVARYULE SCHOOL OF NURSING, GUNTAKAL, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1996
S-21120,"SRI PADMAVATHI SCHOOL OF NURSING, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2018
S-3634,SRI PADMAWATI SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1998
S-3636,"SRI RAMYA SAI SCHOOL OF NURSING, GUNTAKAL, ANANTAPUR DISTRICT",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2002
C-74837,"SRI SADGURU ALLI SAHEB SWAMY COLLEGE OF PHYSIOTHERAPY, ARAVIND NAGAR, ANANTHAPURAM TOWN",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Affiliated College,2024
S-13091,"SRI SAPTHA JYOTHI SCHOOL OF NURSING, GUNTAKAL, ANANTHAPUR",Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2003
S-26565,SRI VENKATESWARA SCHOOL OF NURSING,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2018
C-55544,"Sri Adisiva Sadguru Alli Saheb Sivaarvyula Ayurvedic Medicakal College, Thimmapuram, Guntakal",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Affiliated College,-
C-30922,"Sri Sai Degree College, Anantapur",Andhra Pradesh,Ananthapuramu,Degree,Private Un-Aided,Affiliated College,1999
S-3685,VIMALA SCHOOL OF NURSING ANANTAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,2003
S-3692,YOUTH SCHOOL OF NURSING ANANTHAPUR,Andhra Pradesh,Ananthapuramu,Medical,Private Un-Aided,Nursing,1987
S-26042,AJ INSTITUTE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Annamayya,Degree,Private Un-Aided,Paramedical,2023
S-26145,AKSHAY INSTITUTE OF PARAMEDICAL SCIENCE,Andhra Pradesh,Annamayya,Degree,Private Un-Aided,Paramedical,2024
C-75326,ARCHANA ANIMAL HUSBANDRY POLYTECHNIC,Andhra Pradesh,Annamayya,Engineering,Private Un-Aided,Affiliated College,2018
C-74565,ARCHANA COLLEGE OF BSC MEDICAL LAB TECHNOLOGY,Andhra Pradesh,Annamayya,Engineering,Private Un-Aided,Affiliated College,2023
C-74564,ARCHANA COLLEGE OF PHYSIOTHERAPY,Andhra Pradesh,Annamayya,Degree,Private Un-Aided,Affiliated College,2023
S-26036,BALAJI INSTITUTE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Annamayya,Degree,Private Un-Aided,Paramedical,2023
S-14925,"GOVERNMENT POLYTECHNIC, RAYACHOTY",Andhra Pradesh,Annamayya,Engineering,State Government,Technical/Polytechnic,2009
S-26972,NGR PARAMEDICAL COLLEGE,Andhra Pradesh,Annamayya,Degree,Private Un-Aided,Paramedical,2023
S-26275,PADMA TEJ AND BHAVYA TEJ COLLEGE OF HEALTH SCIENCES,Andhra Pradesh,Annamayya,Medical,Private Un-Aided,Paramedical,2022
S-26419,PH COLLEGE OF HEALTH SCIENCES,Andhra Pradesh,Annamayya,Medical,Private Un-Aided,Paramedical,2024
C-75793,"POLYTECHNIC OF AGRICULTURAL ENGINEERING, KALIKIRI",Andhra Pradesh,Annamayya,Engineering,University,Constituent / University College,2013
C-75792,"POLYTECHNIC OF AGRICULTURE, KALIKIRI",Andhra Pradesh,Annamayya,Engineering,University,Constituent / University College,2012
S-26043,"SOFY INSTITUTE OF PARA MEDICAL SCIENCES, MADANAPALLE",Andhra Pradesh,Annamayya,Medical,Private Un-Aided,Paramedical,2023
S-503,BAPATLA POLYTECHNIC BAPATLA,Andhra Pradesh,Bapatla,Engineering,Private Un-Aided,Technical/Polytechnic,2001
S-13277,"OXFORD SCHOOL OF NURSING, CHIRALA, PRAKASAM DISTRICT",Andhra Pradesh,Bapatla,Medical,Private Un-Aided,Nursing,2003
S-26294,PVK AND DNS COLLEGE OF HEALTH SCIENCE,Andhra Pradesh,Bapatla,Degree,Private Un-Aided,Paramedical,2024
S-26074,SATYA SAI INSTITUTE OF PARAMEDICAL TECHNOLOGY,Andhra Pradesh,Bapatla,Engineering,Private Un-Aided,Paramedical,2014
C-75870,"VASAVI COLLEGE OF EDUCATION, MARTUR",Andhra Pradesh,Bapatla,Degree,Private Un-Aided,Affiliated College,2016
S-26273,ZEENATH AND HAMMUBI ELEMENTARY TEACHER TRAINING INSTITUTION,Andhra Pradesh,Bapatla,Degree,Private Un-Aided,Teacher Training,2007
S-499,ARIES POLYTECHNIC COLLEGE,Andhra Pradesh,Chittoor,Engineering,Private Aided (Government Aided),Technical/Polytechnic,2010
S-3459,AROGYAVARAM MEDICAL CENTRE AROGYAVARAM,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,1998
S-13157,"BLESS SCHOOL OF NURSING, PADMAVATHI COLONY, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2005
S-26069,CHARLES PAUL SCHOOL OF MEDICAL LAB TECHNOLOGY,Andhra Pradesh,Chittoor,Engineering,Private Un-Aided,Paramedical,2002
S-3479,CIPAI GOVINDA REDDY SCHOOLOF NURSING TRIUPATI,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2004
S-13159,"DEEPIKA SCHOOL OF NURSING, TIRUPATHI, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2012
S-5576,DISTRICT INSTITUTE OF EDUCATION & TRAINING (DIET) CHITTOOR,Andhra Pradesh,Chittoor,Degree,State Government,Teacher Training,1990
S-522,DR. Y .C. JAMES YEN GOVERNMENT POLYTECHNIC. KUPPAM,Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,1998
S-3491,ENLIGHT SCHOOL OF NURSING TRIUPATI,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,1989
S-13163,"G K REDDY SCHOOL OF NURSING, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2012
S-529,GMR POLYTECHNIC MADANAPALLI,Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,1987
S-17740,GOVERNMENT POLYTECHNIC SATYAVEDU,Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,2008
S-14585,"GOVERNMENT POLYTECHNIC, KALIKIRI",Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,2009
S-14932,"GOVERNMENT POLYTECHNIC, PILLARIPATUU",Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,2008
S-548,GOVT POLYTECHNIC FOR WOMEN PALAMANERU,Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,1985
S-16185,GOVT. POLYTECHNIC CHANDRAGIRI,Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,2008
S-13153,"PARTHA SCHOOL OF NURSING, PARTHA CHARITABLE SOCIETY, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Aided (Government Aided),Nursing,2005
S-13162,"RVS SCHOOL OF NURSING, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2012
S-3597,S V R R HOSPITAL SCHOOL OF NURSING CHITTOOR,Andhra Pradesh,Chittoor,Medical,-,Nursing,-
S-614,"S.V.GOVERNMENT POLYTECHNIC, TIRUPATHI",Andhra Pradesh,Chittoor,Engineering,State Government,Technical/Polytechnic,1957
S-21114,SMT SWARASWATHAMMA SCHOOL OF NURSING,Andhra Pradesh,Chittoor,Medical,Private Aided (Government Aided),Nursing,2018
S-3625,SRI GNANA PRASUNAMBIKA SCHOOL OF NURSING CHITTOOR,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2002
S-26038,SRI KRISHNA CHAITANYA COLLEGE OF PARAMEDICAL SCIENCES,Andhra Pradesh,Chittoor,Degree,Private Un-Aided,Paramedical,2023
S-13152,"SRI KRISHNA CHAITANYA SCHOOL OF NURSING, PRASANTHNAGAR, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2004
S-644,SRI PADMAVATHI WOMEN'S POLYTECHNIC,Andhra Pradesh,Chittoor,Engineering,Private Aided (Government Aided),Technical/Polytechnic,1976
S-13161,"SRI PADMAVATHI, SCHOOL OF NURSING, NARAYANAVARAM, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2014
S-3643,SRI VENKATA PADMAVATHI SCHOOL OF NURSING CHITTOOR,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2005
S-3646,SRI VENKATESHWARA SCHOOL OF NURSING CHITTOOR,Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,1986
S-20620,SRI VENKATESWARA INSTITUTE OF TRADITIONAL SCULPTURE AND ARCHITECTURE,Andhra Pradesh,Chittoor,Engineering,Private Un-Aided,Technical/Polytechnic,-
S-13160,"SRI VIKAS SCHOOL OF NURSING, TIRUPATHI, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2011
S-13140,"SRI VINAYAKA SCHOOL OF NURSING, TIRUCHANUR, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,1988
S-13165,"TIRUPATHI SCHOOL OF NURSING, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2013
S-13155,"VEDHA SCHOOL OF NURSING, L.S. NAGAR, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Un-Aided,Nursing,2004
S-13154,"VIJAYA SCHOOL OF NURSING, GREAMSPET, CHITTOOR",Andhra Pradesh,Chittoor,Medical,Private Aided (Government Aided),Nursing,2004
S-14930,"GOVERNMENT POLYTECHNIC, DRAKSHARAMAM",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Engineering,State Government,Technical/Polytechnic,2014
C-75226,MOTHER TERESA COLLEGE OF NURSING,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,State Government,Constituent / University College,2022
S-26308,MOTHER THERESA PARA MEDICAL TECHNOLOGY,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Engineering,Private Un-Aided,Paramedical,2023
S-26037,RAVI CHANDRA INSTITUTE OF MEDICAL TECHNOLOGY,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Engineering,Private Un-Aided,Paramedical,2015
C-75668,SANGHAMITRA COLLEGE OF NURSING,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,Private Un-Aided,Affiliated College,2019
S-26075,"SANTI PARAMEDICAL TRAINING INSTITUE, AMALAPURAM",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Degree,Private Un-Aided,Paramedical,2023
C-72864,"SRI RAMA ADITYA COLLEGE OF NURSING, RAMACHANDRAPURAM",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,Private Un-Aided,Affiliated College,-
S-26049,SRI SRINIVASA INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,Private Un-Aided,Paramedical,2022
S-26068,"SRI TEJA PARAMEDICAL TRAINING INSTITUTE, K. AGRAHARAM AMALAPURAM",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Degree,Private Un-Aided,Paramedical,2023
S-650,SRI YVS & SRI BRM POLYTECHNIC,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Engineering,Private Un-Aided,Technical/Polytechnic,1998
S-21117,"VENKATESA SCHOOL OF NURSING, MANDAPETA",Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,Private Un-Aided,Nursing,2018
S-26044,VENKATESWARA INSTITUTE OF MEDICAL SCIENCES,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,Medical,Private Un-Aided,Paramedical,2008
S-3449,ADITYA SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-21840,AMARAVATHI SCHOOL OF NURSING ATCHUTAPURAM KAKINADA,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,-
S-497,ANDHRA POLYTECHNIC KAKINADA,Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,1946
S-26076,"AVYA PARAMEDICAL COLLEGE, HUKUMPETA, RAJAMANENDRAVARAM",Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Paramedical,2023
S-13793,"B A RAMAIAH POLYTECHNIC, RAJAHMUNDRY",Andhra Pradesh,East Godavari,Engineering,Private Aided (Government Aided),Technical/Polytechnic,2012
S-3467,BHARAT SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2005
S-26785,BOLLINENI MEDSKILLS PARAMEDICAL INSTITUTION,Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Paramedical,2023
S-16184,BVC COLLEGE OF ENGINEERING,Andhra Pradesh,East Godavari,Engineering,Private Un-Aided,Technical/Polytechnic,2013
C-23967,C.N.R. Degree College,Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Affiliated College,-
S-523,DR.B.R.A.G.M.R.POLYTECHNIC,Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,1987
S-19281,Dr B R Ambedkar School of Nursing,Andhra Pradesh,East Godavari,Medical,-,Nursing,-
S-19716,EMMANUEL SCHOOL OF NURSING SANTHI NAGAR KAKINADA,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2020
S-3495,FLORENCE NIGHTINGALE SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-12972,"G B R SCHOOL OF NURSING, ANANPARTHI, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,1995
S-3498,G S L SCHOOL OF NURSING EAST GODAWARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-13344,"GBR Elementary Teacher Education, Anaparthy, East Godavari District - 533 342",Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Teacher Training,2007
S-15631,GIET Polytechnic College,Andhra Pradesh,East Godavari,Engineering,Private Un-Aided,Technical/Polytechnic,2012
S-527,GMR POLYTECHNIC BHADRACHALAM,Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,1986
S-12946,"GOVERNMENT GENERAL HOSPITAL, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,State Government,Nursing,2005
S-14934,"GOVERNMENT POLYTECHNIC, ANAPARTHI",Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,2014
S-18148,"GOVERNMENT POLYTECHNIC, PITHAPURAM-533450,",Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,2014
S-543,GOVT POLYTECHNIC FOR WOMEN KAKINADA,Andhra Pradesh,East Godavari,Engineering,State Government,Technical/Polytechnic,1961
S-12951,"HARITHA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Aided (Government Aided),Nursing,1998
S-12974,"JANAPRIYA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2004
S-586,KAKINADA INSTITUE OF TECHNOLOGICAL SCIENCES,Andhra Pradesh,East Godavari,Engineering,Private Un-Aided,Technical/Polytechnic,2008
S-12970,"KIMS SCHOOL OF NURSING, AMALAPURAM, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Local Body,Nursing,2004
S-12965,"KONASEEMA SCHOOL OF NURSING, AMMALAPURAM, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-12977,"LAVANYA SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Aided (Government Aided),Nursing,2015
S-5631,MOHAN TEACHER TRAINING INSTITUTE MOHAN EDUCATIONAL SOCIETY EAST GODAVARI,Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Teacher Training,2008
S-3557,MOTHER THERESA SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
C-68105,"NATIONAL COLLEGE OF NURSING, KAKINADA",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Affiliated College,2018
S-21119,"NATIONAL SCHOOL OF NURSING, KAKINADA",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2018
S-26088,"NIVYA PARA MEDICAL COLLEGE, RAJAHMUNDRY",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Paramedical,2023
S-19724,PRASANTHI SCHOOL OF NURSING,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2020
S-21112,PRASANTHI SCHOOL OF NURSING PRATHIPADU,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2020
S-3588,PRIYADARSHINI SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,1988
S-12961,"RAGHAVA SCHOOL OF NURSING, RAMA RAO PET, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-3591,RAMAKRISHAN SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,Medical,Local Body,Nursing,1989
S-12978,"RV SCHOOL OF NURSING, MUMMIDIVARAM, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2005
C-30505,"Royal College of Nursing, Chollangi",Andhra Pradesh,East Godavari,Medical,-,Affiliated College,-
S-13191,"S.S.V. School of Nursing, Innispeta, Rajahmundry",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2014
S-3488,SAI SADGURU SCHOOL OF NURSING RAJAHMUNDRY,Andhra Pradesh,East Godavari,Medical,Private Aided (Government Aided),Nursing,2015
S-12971,"SAI SCHOOL OF NURSING, RAJAHMUNDARY, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Aided (Government Aided),Nursing,2003
S-12976,"SANTHI SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2011
S-12967,"SARA SCHOOL OF NURSING, SIDDARDHA NAGAR, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,State Government,Nursing,2003
S-18144,"SARADA SCHOOL OF NURSING, MANDAPETA, EAST GODAVARI DISTRICT",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2017
S-12958,"SARASWATHI SCHOOL OF NURSING, RAMARAOPET, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2003
S-26598,SHINE PARAMEDICAL INSTITUTION,Andhra Pradesh,East Godavari,Degree,Private Un-Aided,Paramedical,2023
S-12979,"SIDDARTHA SCHOOL OF NURSING, GANDHI NAGAR, KAKINADA, EAST GODAVARI DISTRICT",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2015
S-3618,SIVA SAI SCHOOL OF NURSING EAST GODAVARI,Andhra Pradesh,East Godavari,Medical,Private Aided (Government Aided),Nursing,1987
S-21118,SRI DEEPTHI SCHOOL OF NURSING,Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2020
S-12973,"SRI RAM SCHOOL OF NURSING, KAKINADA, EAST GODAVARI",Andhra Pradesh,East Godavari,Medical,Private Un-Aided,Nursing,2004
